answer,question
Earth,"Earth (also the world, in Greek: Γαῖα Gaia, or in Latin: Terra) is the third planet from the Sun, the densest planet in the Solar System, the largest of the Solar System's four terrestrial planets, and the only astronomical object known to harbor life. The earliest life on Earth arose at least 3.5 billion years ago. Earlier physical evidences of life include graphite, a biogenic substance, in 3.7 billion-year-old metasedimentary rocks discovered in southwestern Greenland, as well as, ""remains of biotic life"" found in 4.1 billion-year-old rocks in Western Australia. Earth's biodiversity has expanded continually except when interrupted by mass extinctions. Although scholars estimate that over 99 percent of all species of life (over five billion) that ever lived on Earth are extinct, there are still an estimated 10–14 million extant species, of which about 1.2 million have been documented and over 86 percent have not yet been described. Over 7.3 billion humans live on Earth and depend on its biosphere and minerals for their survival. Earth's human population is divided among about two hundred sovereign states which interact through diplomacy, conflict, travel, trade and communication media."
Acid,"An acid (from the Latin acidus/acēre meaning sour) is a chemical substance whose aqueous solutions are characterized by a sour taste, the ability to turn blue litmus red, and the ability to react with bases and certain metals (like calcium) to form salts. Aqueous solutions of acids have a pH of less than 7. Non-aqueous acids are usually formed when an anion (negative ion) reacts with one or more positively charged hydrogen cations. A lower pH means a higher acidity, and thus a higher concentration of positive hydrogen ions in the solution. Chemicals or substances having the property of an acid are said to be acidic."
Mantle (geology),"The mantle is a layer inside a terrestrial planet and some other rocky planetary bodies. For a mantle to form, the planetary body must be large enough to have undergone the process of planetary differentiation by density. The mantle lies between the core below and the crust above. The terrestrial planets (Earth, Venus, Mars and Mercury), Earth's Moon, two of Jupiter's moons (Io and Europa) and the asteroid Vesta each have a mantle made of silicate rock. Interpretation of spacecraft data suggests that at least two other moons of Jupiter (Ganymede and Callisto), as well as Titan and Triton each have a mantle made of ice or other solid volatile substances."
Aromaticity,"In organic chemistry, the term aromaticity is formally used to describe the unusually stable nature of some flat rings of atoms. These structures contain a number of double bonds that interact with each other according to certain rules. As a result of their being so stable, such rings tend to form easily, and once formed, tend to be difficult to break in chemical reactions."
Cloud,"In meteorology, a cloud is an aerosol comprising a visible mass of liquid droplets or frozen crystals made of water or various chemicals. The droplets or particles are suspended in the atmosphere above the surface of a planetary body. Terrestrial cloud formation is the result of air in any of the lower three principal layers of Earth's atmosphere (collectively known as the homosphere) becoming saturated due to either or both of two processes: cooling of the air and adding water vapor."
Hydrogen peroxide,Hydrogen peroxide is a chemical compound with the formula H
ATP synthase,"ATP synthase (EC 3.6.3.14) is an important enzyme that provides energy for the cell to use through the synthesis of adenosine triphosphate (ATP). ATP is the most commonly used ""energy currency"" of cells from most organisms. It is formed from adenosine diphosphate (ADP) and inorganic phosphate (Pi), and needs energy."
Thyroid,"The thyroid gland, or simply the thyroid /ˈθaɪrɔɪd/, is one of the largest endocrine glands in the body, and consists of two connected lobes. It is found in the neck, below the laryngeal prominence (Adam's apple). The thyroid gland controls how quickly the body uses energy, makes proteins, and controls the body's sensitivity to other hormones. It participates in these processes by producing thyroid hormones, the principal ones being thyroxine (T4) and triiodothyronine (T3), which is more active. These hormones regulate the growth and rate of function of many other systems in the body. T3 and T4 are synthesized from iodine and tyrosine. The thyroid also produces calcitonin, which plays a role in calcium homeostasis."
Skylab,"Skylab was a space station launched and operated by NASA and was the United States' first space station. Skylab orbited Earth from 1973 to 1979, and included a workshop, a solar observatory, and other systems. It was launched unmanned by a modified Saturn V rocket, with a weight of 169,950 pounds (77 t). Three manned missions to the station, conducted between 1973 and 1974 using the Apollo Command/Service Module (CSM) atop the smaller Saturn IB, each delivered a three-astronaut crew. On the last two manned missions, an additional Apollo / Saturn IB stood by ready to rescue the crew in orbit if it was needed."
Robert Boyle,"Robert Boyle FRS (25 January 1627 – 31 December 1691) was an Anglo-Irish natural philosopher, chemist, physicist and inventor born in Lismore, County Waterford, Ireland. Boyle is largely regarded today as the first modern chemist, and therefore one of the founders of modern chemistry, and one of the pioneers of modern experimental scientific method. He is best known for Boyle's law, which describes the inversely proportional relationship between the absolute pressure and volume of a gas, if the temperature is kept constant within a closed system. Among his works, The Sceptical Chymist is seen as a cornerstone book in the field of chemistry. He was a devout and pious Anglican and is noted for his writings in theology."
6 (number),6 (six/ˈsɪks/) is the natural number following 5 and preceding 7.
Maillard reaction,"The Maillard reaction (/maɪˈjɑr/ my-YAR; French pronunciation: ​[majaʁ]) is a chemical reaction between amino acids and reducing sugars that gives browned food its desirable flavor. Seared steaks, pan-fried dumplings, cookies, breads, toasted marshmallows, and many other foods undergo this reaction. It is named after French chemist Louis-Camille Maillard, who first described it in 1912 while attempting to reproduce biological protein synthesis."
Triangle inequality,"In mathematics, the triangle inequality states that for any triangle, the sum of the lengths of any two sides must be greater than or equal to the length of the remaining side. If x, y, and z are the lengths of the sides of the triangle, with no side being greater than z, then the triangle inequality states that"
Disproportionation,Disproportionation is a specific type of redox reaction in which a species is simultaneously reduced and oxidised to form two different products.
Bilirubin,"Bilirubin (formerly referred to as haematoidin) is the yellow breakdown product of normal heme catabolism, caused by the body's clearance of aged red blood cells which contain hemoglobin."
Dirac equation,"In particle physics, the Dirac equation is a relativistic wave equation derived by British physicist Paul Dirac in 1928. In its free form, or including electromagnetic interactions, it describes all spin-½ massive particles such as electrons and quarks, for which parity is a symmetry, and is consistent with both the principles of quantum mechanics and the theory of special relativity, and was the first theory to account fully for special relativity in the context of quantum mechanics."
Human papillomavirus,"Human papillomavirus (HPV) is a DNA virus from the papillomavirus family that is capable of infecting humans. Like all papillomaviruses, HPVs establish productive infections only in keratinocytes of the skin or mucous membranes. Most HPV infections are subclinical and will cause no physical symptoms; however, in some people subclinical infections will become clinical and may cause benign papillomas (such as warts [verrucae] or squamous cell papilloma), premalignant lesions that will drive to cancers of the cervix, vulva, vagina, penis, oropharynx and anus. In particular, HPV16 and HPV18 are known to cause around 70% of cervical cancer cases."
Hydrogenation,"Hydrogenation – to treat with hydrogen – is a chemical reaction between molecular hydrogen (H2) and another compound or element, usually in the presence of a catalyst such as nickel, palladium or platinum. The process is commonly employed to reduce or saturate organic compounds. Hydrogenation typically constitutes the addition of pairs of hydrogen atoms to a molecule, generally an alkene. Catalysts are required for the reaction to be usable; non-catalytic hydrogenation takes place only at very high temperatures. Hydrogenation reduces double and triple bonds in hydrocarbons."
Adrenal gland,"The adrenal glands (also known as suprarenal glands) are endocrine glands that produce a variety of hormones including adrenaline and the steroids aldosterone and cortisol. They are found above the kidneys. Each gland has an outer cortex which produces steroid hormones and an inner medulla. The adrenal cortex itself is divided into three zones: zona glomerulosa, the zona fasciculata and the zona reticularis."
Capacitance,"Capacitance is the ability of a body to store an electrical charge. Any object that can be electrically charged exhibits capacitance. A common form is a parallel-plate capacitor, which consists of two conductive plates insulated from each other, usually sandwiching a dielectric material. In a parallel plate capacitor, capacitance is directly proportional to the surface area of the conductor plates and inversely proportional to the separation distance between the plates."
Kevlar,"Kevlar is the registered trademark for a para-aramid synthetic fiber, related to other aramids such as Nomex and Technora. Developed by Stephanie Kwolek at DuPont in 1965, this high-strength material was first commercially used in the early 1970s as a replacement for steel in racing tires. Typically it is spun into ropes or fabric sheets that can be used as such or as an ingredient in composite material components."
Fraunhofer lines,"In physics and optics, the Fraunhofer lines are a set of spectral lines named after the German physicist Joseph von Fraunhofer (1787–1826). The lines were originally observed as dark features (absorption lines) in the optical spectrum of the Sun."
Lev Landau,"Lev Davidovich Landau (Russian: Ле́в Дави́дович Ланда́у; IPA: [lʲɛv dɐˈvidəvʲitɕ lɐnˈdaʊ]; January 22 [O.S. January 9] 1908 – April 1, 1968) was a prominent Soviet physicist who made fundamental contributions to many areas of theoretical physics. His accomplishments include the independent co-discovery of the density matrix method in quantum mechanics (alongside John von Neumann), the quantum mechanical theory of diamagnetism, the theory of superfluidity, the theory of second-order phase transitions, the Ginzburg–Landau theory of superconductivity, the theory of Fermi liquid, the explanation of Landau damping in plasma physics, the Landau pole in quantum electrodynamics, the two-component theory of neutrinos, and Landau's equations for S matrix singularities. He received the 1962 Nobel Prize in Physics for his development of a mathematical theory of superfluidity that accounts for the properties of liquid helium II at a temperature below 7000217000000000000♠2.17 K (7000216999999999995♠−270.98 °C)."
Beta decay,"In nuclear physics, beta decay (β-decay) is a type of radioactive decay in which a proton is transformed into a neutron, or vice versa, inside an atomic nucleus. This process allows the atom to move closer to the optimal ratio of protons and neutrons. As a result of this transformation, the nucleus emits a detectable beta particle, which is an electron or positron."
Aberration of light,"The aberration of light (also referred to as astronomical aberration or stellar aberration) is an astronomical phenomenon which produces an apparent motion of celestial objects about their locations dependent on the velocity of the observer. Aberration causes objects to appear to be angled or tilted towards the direction of motion of the observer compared to when the observer is stationary. The change in angle is typically very small, on the order of v/c where c is the speed of light and v the velocity of the observer. In the case of ""stellar"" or ""annual"" aberration, the apparent position of a star to an observer on Earth varies periodically over the course of a year as the Earth's velocity changes as it revolves around the Sun, by a maximum angle of approximately 20 arcseconds in right ascension or declination."
Markovnikov's rule,"In organic chemistry, Markovnikov's rule or Markownikoff's rule describes the outcome of some addition reactions. The rule was formulated by Russian chemist Vladimir Vasilevich Markovnikov in 1870."
The Phenomenology of Spirit,"Phänomenologie des Geistes (1807) is Georg Wilhelm Friedrich Hegel's most important and widely discussed philosophical work. Hegel's first book, it describes the three-stage dialectical life of Spirit. The title can be translated as either The Phenomenology of Spirit or The Phenomenology of Mind, because the German word Geist has both meanings. The book's working title, which also appeared in the first edition, was Science of the Experience of Consciousness. On its initial publication (see cover image on right), it was identified as Part One of a projected ""System of Science"", of which the Science of Logic was the second part. A smaller work, titled Philosophy of Spirit (also translated as ""Philosophy of Mind""), appears in Hegel's Encyclopedia of the Philosophical Sciences, and recounts in briefer and somewhat altered form the major themes of the original Phenomenology."
Boltzmann constant,"The Boltzmann constant (kB or k), named after Ludwig Boltzmann, is a physical constant relating energy at the individual particle level with temperature. It is the gas constant R divided by the Avogadro constant NA:"
Magnetic potential#Magnetic vector potential,"A magnetic monopole is a hypothetical elementary particle in particle physics that is an isolated magnet with only one magnetic pole (a north pole without a south pole or vice versa). In more technical terms, a magnetic monopole would have a net ""magnetic charge"". Modern interest in the concept stems from particle theories, notably the grand unified and superstring theories, which predict their existence."
Silurian,"The Silurian is a geologic period and system that extends from the end of the Ordovician Period, at 443.8 million years ago (mya), to the beginning of the Devonian Period. As with other geologic periods, the rock beds that define the period's start and end are well identified, but the exact dates are uncertain by several million years. The base of the Silurian is set at a major extinction event when 60% of marine species were wiped out. See Ordovician-Silurian extinction events."
Hermann Emil Fischer,"Hermann Emil Louis Fischer (9 October 1852 – 15 July 1919) was a German chemist and 1902 recipient of the Nobel Prize in Chemistry. He also discovered the Fischer esterification. He developed the Fischer projection, a symbolic way of drawing asymmetric carbon atoms. He never used his first given name, and was known throughout his life simply as Emil Fischer."
Vector (mathematics and physics),"When used without any further description, vector refers either to:"
Sigma,"Sigma (upper-case Σ, lower-case σ, lower-case in word-final position ς; Greek σίγμα) is the eighteenth letter of the Greek alphabet. In the system of Greek numerals, it has a value of 200. When used at the end of a word, when the word is not all upper-case, the final form (ς) is used, e.g. Ὀδυσσεύς (Odysseus); note the two sigmas in the center of the name, and the word-final sigma at the end."
Medulla oblongata,"The medulla oblongata (or medulla) is located in the hindbrain, anterior to the cerebellum. The medulla oblongata is a cone-shaped neuronal mass responsible for multiple autonomic (involuntary) functions ranging from vomiting to sneezing. The medulla contains the cardiac, respiratory, vomiting and vasomotor centers and therefore deals with the autonomic functions of breathing, heart rate and blood pressure."
Lennard-Jones potential,"The Lennard-Jones potential (also referred to as the L-J potential, 6-12 potential, or 12-6 potential) is a mathematically simple model that approximates the interaction between a pair of neutral atoms or molecules. A form of this interatomic potential was first proposed in 1924 by John Lennard-Jones. The most common expressions of the L-J potential are"
Inflation (cosmology),"In physical cosmology, cosmic inflation, cosmological inflation, or just inflation is a theory of exponential expansion of space in the early universe. The inflationary epoch lasted from 10−36 seconds after the Big Bang to sometime between 10−33 and 10−32 seconds. Following the inflationary period, the Universe continues to expand, but at a less rapid rate."
Apoptosis,"Apoptosis (/ˌæpəˈtoʊsɪs/; from Ancient Greek ἀπό apo, ""by, from, of, since, than"" and πτῶσις ptōsis, ""fall"") is the process of programmed cell death that may occur in multicellular organisms. Biochemical events lead to characteristic cell changes (morphology) and death. These changes include blebbing, cell shrinkage, nuclear fragmentation, chromatin condensation, chromosomal DNA fragmentation, and global mRNA decay."
Niels Henrik Abel,"Niels Henrik Abel (Norwegian: [ˈɑːbɛl]; 5 August 1802 – 6 April 1829) was a Norwegian mathematician who made pioneering contributions in a variety of fields. His most famous single result is the first complete proof demonstrating the impossibility of solving the general quintic equation in radicals. This question was one of the outstanding open problems of his day, and had been unresolved for 250 years. He was also an innovator in the field of elliptic functions, discoverer of Abelian functions. Despite his achievements, Abel was largely unrecognized during his lifetime; he made his discoveries while living in poverty and died at the age of 26."
3,"3 (three; /ˈθriː/) is a number, numeral, and glyph. It is the natural number following 2 and preceding 4."
Dune,"In physical geography, a dune is a hill of sand built by either wind or water flow. Dunes occur in different shapes and sizes, formed by interaction with the flow of air or water. Most kinds of dunes are longer on the windward side where the sand is pushed up the dune and have a shorter ""slip face"" in the lee of the wind. The valley or trough between dunes is called a slack. A ""dune field"" is an area covered by extensive sand dunes."
Church-Turing thesis,"In computability theory, the Church–Turing thesis (also known as the Turing–Church thesis, the Church–Turing conjecture, Church's thesis, Church's conjecture, and Turing's thesis) is a hypothesis about the nature of computable functions. It states that a function on the natural numbers is computable by a human being ignoring resource limitations if and only if it is computable by a Turing machine. The thesis is named after American mathematician Alonzo Church and the British mathematician Alan Turing."
Serotonin,"Serotonin (/ˌsɛrɵˈtoʊnɨn/, /ˌsɪr-/) or 5-hydroxytryptamine (5-HT) is a monoamine neurotransmitter. Biochemically derived from tryptophan, serotonin is primarily found in the gastrointestinal tract (GI tract), blood platelets, and the central nervous system (CNS) of animals, including humans. It is popularly thought to be a contributor to feelings of well-being and happiness."
Diatom,"Diatoms are a major group of algae, and are among the most common types of phytoplankton. Diatoms are unicellular, although they can form colonies in the shape of filaments or ribbons (e.g. Fragilaria), fans (e.g. Meridion), zigzags (e.g. Tabellaria), or stars (e.g. Asterionella). The first diatom formally described in scientific literature, the colonial Bacillaria paradoxa, was found in 1783 by Danish naturalist Otto Friedrich Müller. Diatoms are producers within the food chain. A unique feature of diatom cells is that they are enclosed within a cell wall made of silica (hydrated silicon dioxide) called a frustule. These frustules show a wide diversity in form, but are usually almost bilaterally symmetrical, hence the group name. The symmetry is not perfect since one of the valves is slightly larger than the other, allowing one valve to fit inside the edge of the other. Fossil evidence suggests that they originated during, or before, the early Jurassic period. Only male gametes of centric diatoms are capable of movement by means of flagella. Diatom communities are a popular tool for monitoring environmental conditions, past and present, and are commonly used in studies of water quality."
Enrico Fermi,"Enrico Fermi (Italian: [enˈriko ˈfermi]; 29 September 1901 – 28 November 1954) was an Italian physicist, who created the world's first nuclear reactor, the Chicago Pile-1. He has been called the ""architect of the nuclear age"", and the ""architect of the atomic bomb"". He was one of the few physicists to excel both theoretically and experimentally. Fermi held several patents related to the use of nuclear power, and was awarded the 1938 Nobel Prize in Physics for his work on induced radioactivity by neutron bombardment and the discovery of transuranic elements. He made significant contributions to the development of quantum theory, nuclear and particle physics, and statistical mechanics."
Lens (anatomy),"The crystalline lens is a transparent, biconvex structure in the eye that, along with the cornea, helps to refract light to be focused on the retina. The lens, by changing shape, functions to change the focal distance of the eye so that it can focus on objects at various distances, thus allowing a sharp real image of the object of interest to be formed on the retina. This adjustment of the lens is known as accommodation (see also below). Accommodation is similar to the focusing of a photographic camera via movement of its lenses. The lens is more flat on its anterior side than on its posterior side."
Nitric oxide,"Nitric oxide (nitrogen oxide, nitrogen monoxide) is a molecular, chemical compound with chemical formula of NO that is a colorless gas under standard conditions. Nitric oxide is a free radical—i.e., its bonding structure includes an unpaired electron—and it is in the class of heteronuclear diatomic molecules that are of historic theoretical interest (for the insights they gave in formulating early modern theories of bonding). It is a practically important intermediate in the chemical industry. In addition, some is unavoidably produced during combustion of fossil fuels in power plants and automobile engines, with excess being created when there is present more air, or higher temperatures, than needed for efficient and complete combustion of the fuel. It is also produced naturally by the extremely high air temperatures produced along the path of lightning in thunderstorms."
Anaphase,"Anaphase (from the Greek ἀνά, ""up"" and φάσις, ""stage""), is the stage of mitosis when replicated chromosomes are split and the sister chromatids are moved to opposite poles of the cell. Chromosomes also reach their overall maximal condensation in late anaphase, to help chromosome segregation and the re-formation of the nucleus."
Earthquake,"An earthquake (also known as a quake, tremor or temblor) is the perceptible shaking of the surface of the Earth, resulting from the sudden release of energy in the Earth's crust that creates seismic waves. Earthquakes can be violent enough to toss people around and destroy whole cities. The seismicity, seismism or seismic activity of an area refers to the frequency, type and size of earthquakes experienced over a period of time."
Chlorine,"Chlorine is a chemical element with symbol Cl and atomic number 17. It also has a relative atomic mass of 35.5. Chlorine is in the halogen group (17) and is the second lightest halogen following fluorine. The element is a yellow-green gas under standard conditions, where it forms diatomic molecules. Chlorine has the highest electron affinity and the third highest electronegativity of all the reactive elements. For this reason, chlorine is a strong oxidizing agent. Free chlorine is rare on Earth, and is usually a result of direct or indirect oxidation by oxygen."
Vapor pressure,"Vapor pressure or equilibrium vapor pressure is defined as the pressure exerted by a vapor in thermodynamic equilibrium with its condensed phases (solid or liquid) at a given temperature in a closed system. The equilibrium vapor pressure is an indication of a liquid's evaporation rate. It relates to the tendency of particles to escape from the liquid (or a solid). A substance with a high vapor pressure at normal temperatures is often referred to as volatile. The pressure exhibited by vapor present above a liquid surface is known as vapor pressure. As the temperature of a liquid increases, the kinetic energy of its molecules also increases. As the kinetic energy of the molecules increases, the number of molecules transitioning into a vapor also increases, thereby increasing the vapor pressure."
Gravitational wave,"In physics, gravitational waves are ripples in the curvature of spacetime which propagate as waves, travelling outward from the source. Predicted in 1916 by Albert Einstein to exist on the basis of his theory of general relativity, gravitational waves theoretically transport energy as gravitational radiation. Sources of detectable gravitational waves could possibly include binary star systems composed of white dwarfs, neutron stars, or black holes. The existence of gravitational waves is a possible consequence of the Lorentz invariance of general relativity since it brings the concept of a limiting speed of propagation of the physical interactions with it. Gravitational waves cannot exist in the Newtonian theory of gravitation, in which physical interactions propagate at infinite speed."
Relative permittivity,The relative permittivity of a material is its dielectric permittivity expressed as a ratio relative to the permittivity of vacuum.
Planck constant,"The Planck constant (denoted h, also called Planck's constant) is a physical constant that is the quantum of action, central in quantum mechanics."
Gas chromatography,"Gas chromatography (GC) is a common type of chromatography used in analytical chemistry for separating and analyzing compounds that can be vaporized without decomposition. Typical uses of GC include testing the purity of a particular substance, or separating the different components of a mixture (the relative amounts of such components can also be determined). In some situations, GC may help in identifying a compound. In preparative chromatography, GC can be used to prepare pure compounds from a mixture."
Pion,"In particle physics, a pion (or a pi meson, denoted with the Greek letter pi: π) is any of three subatomic particles: π0, π+, and π−. Each pion consists of a quark and an antiquark and is therefore a meson. Pions are the lightest mesons (and, more generally, the lightest hadrons), because they are composed of the lightest quarks (the u and d quarks). They are unstable, with the charged pions π+ and π− decaying with a mean lifetime of 26 nanoseconds (6992260000000000000♠2.6×10−8 seconds), and the neutral pion π0 decaying with a much shorter lifetime of 6983840000000000000♠8.4×10−17 seconds. Charged pions most often decay into muons and muon neutrinos, and neutral pions into gamma rays."
Colloid,"A colloid, in chemistry, is a substance in which one substance of microscopically dispersed insoluble particles is suspended throughout another substance. Sometimes the dispersed substance alone is called the colloid; the term colloidal suspension refers unambiguously to the overall mixture (although a narrower sense of the word suspension is contradistinguished from colloids by larger particle size). Unlike a solution, whose solute and solvent constitute only one phase, a colloid has a dispersed phase (the suspended particles) and a continuous phase (the medium of suspension). To qualify as a colloid, the mixture must be one that does not settle or would take a very long time to settle appreciably."
Mercury (element),"Mercury is a chemical element with symbol Hg and atomic number 80. It is commonly known as quicksilver and was formerly named hydrargyrum (/haɪˈdrɑrdʒərəm/). A heavy, silvery d-block element, mercury is the only metallic element that is liquid at standard conditions for temperature and pressure; the only other element that is liquid under these conditions is bromine, though metals such as caesium, gallium, and rubidium melt just above room temperature."
Diophantine equation,"In mathematics, a Diophantine equation is a polynomial equation, usually in two or more unknowns, such that only the integer solutions are sought or studied (an integer solution is a solution such that all the unknowns take integer values). A linear Diophantine equation is an equation between two sums of monomials of degree zero or one. An exponential Diophantine equation is one in which exponents on terms can be unknowns."
Atomic orbital,"An atomic orbital is a mathematical function that describes the wave-like behavior of either one electron or a pair of electrons in an atom. This function can be used to calculate the probability of finding any electron of an atom in any specific region around the atom's nucleus. The term may also refer to the physical region or space where the electron can be calculated to be present, as defined by the particular mathematical form of the orbital."
Brown dwarf,"Brown dwarfs are substellar objects not massive enough to sustain hydrogen-1 fusion reactions in their cores, unlike main-sequence stars. They occupy the mass range between the heaviest gas giants and the lightest stars, with an upper limit around 75 to 80 Jupiter masses (MJ). Brown dwarfs heavier than about 13 MJ are thought to fuse deuterium and those above ~65 MJ, fuse lithium as well. Brown dwarfs may be fully convective, with no layers or chemical differentiation by depth."
Variance,"In probability theory and statistics, variance measures how far a set of numbers is spread out. A variance of zero indicates that all the values are identical. Variance is always non-negative: a small variance indicates that the data points tend to be very close to the mean (expected value) and hence to each other, while a high variance indicates that the data points are very spread out around the mean and from each other."
Ring (mathematics),"In mathematics, and more specifically in algebra, a ring is an algebraic structure with operations that generalize the arithmetic operations of addition and multiplication. Through this generalization, theorems from arithmetic are extended to non-numerical objects like polynomials, series, matrices and functions."
Humphry Davy,"Sir Humphry Davy, 1st Baronet PRS MRIA FGS (17 December 1778 – 29 May 1829) was a Cornish chemist and inventor. He is best remembered today for his discoveries of several alkali and alkaline earth metals, as well as contributions to the discoveries of the elemental nature of chlorine and iodine. Berzelius called Davy's 1806 Bakerian Lecture On Some Chemical Agencies of Electricity ""one of the best memoirs which has ever enriched the theory of chemistry."" He was a 1st Baronet, President of the Royal Society (PRS), Member of the Royal Irish Academy (MRIA), and Fellow of the Geological Society (FGS)."
Charles Babbage,"Charles Babbage FRS (/ˈbæbɪdʒ/; 26 December 1791 –18 October 1871) was an English polymath. A mathematician, philosopher, inventor and mechanical engineer, Babbage is best remembered for originating the concept of a programmable computer."
Lambda calculus,"Lambda calculus (also written as λ-calculus) is a formal system in mathematical logic for expressing computation based on function abstraction and application using variable binding and substitution. First formulated by Alonzo Church to formalize the concept of effective computability, lambda calculus found early successes in the area of computability theory, such as a negative answer to Hilbert's Entscheidungsproblem. Lambda calculus is a conceptually simple universal model of computation (Turing showed in 1937 that Turing machines equaled the lambda calculus in expressiveness). The name derives from the Greek letter lambda (λ) used to denote binding a variable in a function. The letter itself is arbitrary and has no special meaning. Lambda calculus is taught and used in computer science because of its usefulness in showcasing functional thinking and iterative reduction."
Weak interaction,"In particle physics, the weak interaction is the mechanism responsible for the weak force or weak nuclear force, one of the four known fundamental interactions of nature, alongside the strong interaction, electromagnetism, and gravitation. The weak interaction is responsible for the radioactive decay of subatomic particles, and it plays an essential role in nuclear fission. The theory of the weak interaction is sometimes called quantum flavordynamics (QFD), in analogy with the terms QCD and QED, but the term is rarely used because the weak force is best understood in terms of electro-weak theory (EWT)."
Marcello Malpighi,"Marcello Malpighi (10 March 1628 – 29 November 1694) was an Italian biologist and physician, who is referred to as the ""Father of microscopical anatomy, histology, physiology and embryology"". Malpighi's name bears to several physiological features related to the biological excretory system, such as the Malpighian corpuscles and Malpighian pyramids of the kidneys and the Malpighian tubule system of insects. The splenic lymphoid nodules are often called the ""Malpighian bodies of the spleen"" or Malpighian corpuscles. The botanical family Malpighiaceae is also named after him. He was the first person to see capillaries in animals, and he discovered the link between arteries and veins that had eluded William Harvey and Malpighi has been the earliest person to observe red blood cells under a microscope. His treatise De polypo cordis (1666) was important for understanding blood composition, as well as how blood clots. In it, Malpighi described how the form of a blood clot differed in the right against the left sides of the heart."
Gold,"Gold is a chemical element with symbol Au (from Latin: aurum) and atomic number 79. In its purest form, it is a bright, slightly reddish yellow, dense, soft, malleable and ductile metal. Chemically, gold is a transition metal and a group 11 element. It is one of the least reactive chemical elements, and is solid under standard conditions. The metal therefore occurs often in free elemental (native) form, as nuggets or grains, in rocks, in veins and in alluvial deposits. It occurs in a solid solution series with the native element silver (as electrum) and also naturally alloyed with copper and palladium. Less commonly, it occurs in minerals as gold compounds, often with tellurium (gold tellurides)."
Giant magnetoresistance,Giant magnetoresistance (GMR) is a quantum mechanical magnetoresistance effect observed in thin-film structures composed of alternating ferromagnetic and non-magnetic conductive layers. The 2007 Nobel Prize in Physics was awarded to Albert Fert and Peter Grünberg for the discovery of GMR.
Lysosome,"A lysosome (derived from the Greek words lysis, meaning ""to loosen"", and soma, ""body"") is a membrane-bound cell organelle found in most animal cells (they are absent in red blood cells). Structurally and chemically, they are spherical vesicles containing hydrolytic enzymes capable of breaking down virtually all kinds of biomolecules, including proteins, nucleic acids, carbohydrates, lipids, and cellular debris. They are known to contain more than 50 different enzymes, which are all optimally active at an acidic environment of about pH 4.5 (about the pH of black coffee). Thus lysosomes act as the waste disposal system of the cell by digesting unwanted materials in the cytoplasm, both from outside of the cell and obsolete components inside the cell. For this function they are popularly referred to as ""suicide bags"" or ""suicide sacs"" of the cell. Furthermore, lysosomes are responsible for cellular homeostasis for their involvements in secretion, plasma membrane repair, cell signalling and energy metabolism, which are related to health and diseases. Depending on their functional activity, their sizes can be very different—the biggest ones can be more than 10 times bigger than the smallest ones. They were discovered and named by Belgian biologist Christian de Duve, who eventually received the Nobel Prize in Physiology or Medicine in 1974."
Cornea,"The cornea is the transparent front part of the eye that covers the iris, pupil, and anterior chamber. The cornea, with the anterior chamber and lens, refracts light, with the cornea accounting for approximately two-thirds of the eye's total optical power. In humans, the refractive power of the cornea is approximately 43 dioptres. While the cornea contributes most of the eye's focusing power, its focus is fixed. The curvature of the lens, on the other hand, can be adjusted to ""tune"" the focus depending upon the object's distance. Medical terms related to the cornea often start with the prefix ""kerat-"" from the Greek word κέρας, horn."
Neutron star,"A neutron star is a type of compact star that can result from the gravitational collapse of a massive star after a supernova. Neutron stars are the densest and smallest stars known to exist in the Universe; with a radius of only about 11–11.5 km (7 mi), they can have a mass of about twice that of the Sun."
8 (number),8 (eight /ˈeɪt/) is the natural number following 7 and preceding 9.
Proton,"The proton is a subatomic particle, symbol p or p+, with a positive electric charge of +1e elementary charge and mass slightly less than that of a neutron. Protons and neutrons, each with mass approximately one atomic mass unit, are collectively referred to as ""nucleons"". One or more protons are present in the nucleus of every atom. The number of protons in the nucleus is the defining property of an element, and is referred to as the atomic number. Since each element has a unique number of protons, each element has its own unique atomic number. The word proton is Greek for ""first"", and this name was given to the hydrogen nucleus by Ernest Rutherford in 1920. In previous years Rutherford had discovered that the hydrogen nucleus (known to be the lightest nucleus) could be extracted from the nuclei of nitrogen by collision. The proton was therefore a candidate to be a fundamental particle and a building block of nitrogen and all other heavier atomic nuclei."
Quantum harmonic oscillator,"The quantum harmonic oscillator is the quantum-mechanical analog of the classical harmonic oscillator. Because an arbitrary potential can usually be approximated as a harmonic potential at the vicinity of a stable equilibrium point, it is one of the most important model systems in quantum mechanics. Furthermore, it is one of the few quantum-mechanical systems for which an exact, analytical solution is known."
Gustav Kirchhoff,"Gustav Robert Kirchhoff (12 March 1824 – 17 October 1887) was a German physicist who contributed to the fundamental understanding of electrical circuits, spectroscopy, and the emission of black-body radiation by heated objects."
Acceleration,"Acceleration, in physics, is the rate of change of velocity of an object. An object's acceleration is the net result of any and all forces acting on the object, as described by Newton's Second Law. The SI unit for acceleration is metre per second squared (m/s2). Accelerations are vector quantities (they have magnitude and direction) and add according to the parallelogram law. As a vector, the calculated net force is equal to the product of the object's mass (a scalar quantity) and the acceleration."
