answer,question
Neptune,"Neptune is the eighth and farthest planet from the Sun in the Solar System. It is the fourth-largest planet by diameter and the third-largest by mass. Among the giant planets in the Solar System, Neptune is the most dense. Neptune is 17 times the mass of Earth and is slightly more massive than its near-twin Uranus, which is 15 times the mass of Earth and slightly larger than Neptune.[c] Neptune orbits the Sun at an average distance of 30.1 astronomical units (4.50•¡109 km). Named after the Roman god of the sea, its astronomical symbol is ?, a stylised version of the god Neptune's trident.Neptune is not visible to the unaided eye and is the only planet found by mathematical prediction rather than by empirical observation. Unexpected changes in the orbit of Uranus led Alexis Bouvard to deduce that its orbit was subject to gravitational perturbation by an unknown planet. Neptune was subsequently observed with a telescope on 23 September 1846[1] by Johann Galle within a degree of the position predicted by Urbain Le Verrier. Its largest moon, Triton, was discovered shortly thereafter, though none of the planet's remaining 14 moons were located telescopically until the 20th century. The planet's distance from Earth gives it a very small apparent size, making it challenging to study with Earth-based teles""pes. Neptune was visited by Voyager 2, when it flew by the planet on 25 August 1989.[10] The advent of Hubble Space Telescope and large ground-based telescopes with adaptive optics has allowed for more-detailed observations.Neptune is similar in composition to Uranus, and both have compositions that differ from those of the larger gas giants, Jupiter and Saturn. Neptune's atmosphere, like Jupiter's and Saturn's, is composed primarily of hydrogen and helium, along with traces of hydrocarbons and possibly nitrogen; it contains a higher proportion of ""ices"" such as water, ammonia, and methane. Scientists sometimes categorise Uranus and Neptune as ""ice giants"" to emphasise this distinction.[11] The interior of Neptune, like that of Uranus, is primarily composed of ices and rock.[12] Traces of methane in the outermost regions in part account for the planet's blue appearance.[13]In contrast to the hazy, relatively featureless atmosphere of Uranus, Neptune's atmosphere has active and visible weather patterns. For example, at the time of the 1989 Voyager 2 flyby, the planet's southern hemisphere had a Great Dark Spot comparable to the Great Red Spot on Jupiter. These weather patterns are driven by the strongest sustained winds of any pl"
Star,"A star is a luminous sphere of plasma held together by its own gravity. The nearest star to Earth is the Sun. Other stars are visible from Earth during the night, appearing as a multitude of fixed luminous points in the sky due to their immense distance from Earth. Historically, the most prominent stars were grouped into constellations and asterisms, and the brightest stars gained proper names. Extensive catalogues of stars have been assembled by astronomers, which provide standardized star designations."
Pulsar,"A pulsar (short for pulsating radio star)[1] is a highly magnetized, rotating neutron star that emits a beam of electromagnetic radiation. This radiation can be observed only when the beam of emission is pointing toward Earth, much the way a lighthouse can be seen only when the light is pointed in the direction of an observer, and is responsible for the pulsed appearance of emission. Neutron stars are very dense, and have short, regular rotational periods. This produces a very precise interval between pulses that range roughly from milliseconds to seconds for an individual pulsar. Pulsars are believed to be one of the candidates of high and ultra-high energy astroparticles (see also Centrifugal mechanism of acceleration)."
Huitzilopochtli,"In the Aztec religion, Huitzilopochtli (Classical Nahuatl: Hu®ätzil®≠p®≠chtli [wi:t?silo??po?t??t??i]), is a Mesoamerican deity of war, sun, human sacrifice and the patron of the city of Tenochtitlan. He was also the national god of the Mexicas, also known as Aztecs, of Tenochtitlan. Many in the pantheon of deities of the Aztecs were inclined to have a fondness for a particular aspect of warfare. However, Huitzilopochtli was known as the primary god of war in ancient Mexico. Since he was the patron god of the Mexica, he was credited with both the victories and defeats that the Mexica people had on the battlefield.[1] It is important to remember that the defeat of their patron deity meant the defeat of his people. This is one of the many reasons why they were concerned with providing exquisite tribute and food for him. Not only was it important for him to survive his battles, but the fate of the Mexica people would have rested in the victory of Huitzilopochtli."
Zeeman effect,"The Zeeman effect (/?ze?m?n/; Dutch pronunciation: [?ze?m®ùn]), named after the Dutch physicist Pieter Zeeman, is the effect of splitting a spectral line into several co"
Neutron star,"A neutron star is a type of compact star that can result from the gravitational collapse of a massive star after a supernova. Neutron stars are the densest and smallest stars known to exist in the Universe; with a radius of only about 1111.5 km (7 mi),[citation needed] they can have a mass of about twice that of the Sun.Neutron stars are composed almost entirely of neutrons, which are subatomic particles without net electrical charge and with slightly larger mass than protons. Neutron stars are very hot and are supported against further collapse by quantum degeneracy pressure due to the phenomenon described by the Pauli exclusion principle, which states that no two neutrons (or any other fermionic particles) can occupy the same place and quantum state simultaneously.In general, compact stars of less than 1.39 M	 (the Chandrasekhar limit) are white dwarfs, whereas compact stars with a mass between 1.4 M	 and 3 M	 (the TolmanOppenheimerVolkoff limit) should be neutron stars. The maximum observed mass of neutron stars is about 2 M	. Compact stars with more than 10 M	 will overcome the neutron degeneracy pressure and gravitational collapse will usually occur to produce a black hole, though the smallest observed mass of a stellar black hole is about 5 M®?.[9] Between 3 M®? and 5 M®?, hypothetical intermediate-mass stars such as quark stars and electroweak stars have been proposed, but none have been shown to exist. The equations of state of matter at such high densities are not precisely known because of the theoretical and empirical difficulties (see quantum gravity).Some neutron stars rotate very rapidly (up to 716 times a sec"
Quasar,"Quasars (/?kwe?z®ùr/) or quasi-stellar radio sources are the most energetic and distant members of a class of objects called active galactic nuclei (AGN). Quasars are extremely luminous and were first identified as being high redshift sources of electromagnetic energy, including radio waves and visible light, that appeared to be similar to stars, rather than extended sources similar to galaxies. Their spectra contain very broad emission lines, unlike any known from stars, hence the name ""uasi-stellar."" Their luminosity can be 100 times greater than that of the Milky Way.[2] Most quasars were formed approximately 12 billion years ago, and they are normally caused by collisions of galaxies, with the galaxies' central black holes merging to form either a supermassive black hole[3] or a binary black hole system.Although the true nature of these objects was controversial until the early 1980s, there is now a scientific consensus that a quasar is a compact region in the center of a massive galaxy surrounding a central supermassive black hole.[4] Its size is 10®C10,000 times the Schwarzschild radius of the enclosed black hole. The energy emitted by a quasar derives from mass falling onto the accretion disc around the black hole.."
Ganymede (moon),"Ganymede /»aÊnhmi–d/[12] (Jupiter III) is the largest moon of Jupiter and in the Solar System, and the only moon known to have a magnetosphere. It is the seventh satellite outward from Jupiter[13] and third of the Galilean moons, the first group of objects discovered orbiting another planet. Completing an orbit in roughly seven days, Ganymede participates in a 1:2:4 orbital resonance with the moons Europa and Io, respectively. With a diameter of 5,268 km (3,273 mi), it is 8% larger than the planet Mercury, but has only 45% as much mass.[14] Its diameter is 2% larger than that of Saturn's Titan, the Solar System's second-largest moon. At 2.02 times the mass of the Moon, it is the most massive planetary satellite.[15] It is the 9th largest object in the Solar System, and the largest without a substantial atmosphere.Ganymede is composed of approximately equal amounts of silicate rock and water ice.[16] It is a fully differentiated body with an iron-rich, liquid core, and an internal ocean that may contain more water than all of Earth's oceans together.[17][18][19][20][21] Its surface is composed of two main types of terrain. Dark regions, saturated with impact craters and dated to four billion years ago, cover about a third of the satellite. Lighter regions, crosscut by extensive grooves and ridges and only slightly less ancient, cover the remainder. The cause of the light terrain's disrupted geology is not fully known, but was likely the result of tectonic activity brought about by tidal heating.[5]Ganymede's magnetosphere was probably created through convection within its liquid iron core.[22] The meager magnetosphere is buried within Jupiter's much larger magnetic field an"
Kuiper belt,"The Kuiper belt /?ka?p?r/ or /'k?yp?r/[1] (as in Dutch), sometimes called the Edgeworth®CKuiper belt, is a circumstellar disc in the Solar System beyond the planets, extending from the orbit of Neptune (at 30 AU) to approximately 50 AU from the Sun.[2] It is similar to the asteroid belt, but it is far larger•™20 times as wide and 20 to 200 times as massive.[3][4] Like the asteroid belt, it consists mainly of small bodies, or remnants from the Solar System's formation. Although many asteroids are composed primarily of rock and metal, most Kuiper belt objects are composed largely of frozen volatiles (termed ""es""), such as methane, ammonia and water. The Kuiper belt is home to three officially recognized dwarf planets: Pluto, Haumea, and Makemake. Some of the Solar System's moons, such as Neptune's Triton and Saturn's Phoebe, are also thought to have originated in the region.The Kuiper belt was named after Dutch-American astronomer Gerard Kuiper, though he did not actually predict its existence. In 1992, 1992 QB1 was discovered, the first Kuiper belt object (KBO) since Pluto.[7] Since its discovery, the number of known KBOs has increased to over a thousand, and more than 100,000 KBOs over 100 km (62 mi) in diameter are thought to exist.[8] The Kuiper belt was initially thought to be the main repository for periodic comets, those with orbits lasting less than 200 years. However, studies since the mid-1990s have shown that the belt is dynamically stable, and that comets' true place of origin is the scattered disc, a dynamically active zone created by the outward motion of Neptune 4.5 billion years ago;[9] scattered disc objects such as Eris have extremely eccentric orbits that take them as far as 100 AU from the Sun.The Kuiper belt should not be confused with the theorized Oort cloud, which is a thousand times more distant and is not flat. The objects within the Kuiper belt, together with the members of the scattered disc and any potential Hills cloud or Oort cloud objects, are collectively referred to as trans-Neptunian objects (TNOs).Pluto is likely the largest and most-massive member of the Kuiper belt and the largest and the second-most-massive known TNO, surpassed only by Eris in the scattered disc.[nb 1] Originally considered a planet, Pluto's status as part of the Kuiper belt caused it to be reclassified as a dwarf planet in 2006. It is compositionally similar to many other objects of the Kuiper belt, and its orbital period is characteristic of a class of KBOs, known as ""plutinos"", that share the same 2:3 resonance with Neptune..r"
Solar wind,"The solar wind is a stream of charged particles released from the upper atmosphere of the Sun. This plasma consists of mostly electrons, protons and alpha particles with energies usually between 1.5 and 10 keV; embedded in the solar-wind plasma is the interplanetary magnetic field. The solar wind varies in density, temperature and speed over time and over solar longitude. Its particles can escape the Sun's gravity because of their high energy, from the high temperature of the corona and magnetic, electrical and electromagnetic phenomena in it.The solar winds flow outward supersonically at varying speeds depending on their origin reaching up to around one million miles per hour[1] to great distances, filling a region known as the heliosphere, an enormous bubble-like volume surrounded by the interstellar medium. Other related phenomena include the aurora (northern and southern lights), the plasma tails of comets that always point away from the Sun, and geomagnetic storms that can change the direction of magnetic field lines and create strong currents in power grids on Earth."
Keratin,"Keratin (/?k?r?t?n/[1][2]) is a family of fibrous structural proteins. Keratin is the protein that protects epithelial cells from damage or stress that has potential to kill the cell. It is the key structural material making up the outer layer of human skin. It is the key structural component of hair and nails, and it provides the necessary strength and toughness for masticatory organs, such as the tongue and the hard palate. Keratin monomers assemble into bundles to form intermediate filaments, which are tough and form strong unmineralized tissues found in reptiles, birds, amphibians, and mammals. The only other biological matter known to approximate the toughness of keratinized tissue is chitin.[3][4][5]"
Transfer RNA,"A transfer RNA (abbreviated tRNA and archaically referred to as sRNA, for soluble RNA[1]) is an adaptor molecule composed of RNA, typically 76 to 90 nucleotides in length,[2] that serves as the physical link between the mRNA and the amino acid sequence of proteins. It does this by carrying an amino acid to the protein synthetic machinery of a cell (ribosome) as directed by a three-nucleotide sequence (codon) in a messenger RNA (mRNA). As such, tRNAs are a necessary component of translation, the biological synthesis of new proteins according to the genetic code.The specific nucleotide sequence of an mRNA specifies which amino acids are incorporated into the protein product of the gene from which the mRNA is transcribed, and the role of tRNA is to specify which sequence from the genetic code corresponds to which amino acid.[3] One end of the tRNA matches the genetic code in a three-nucleotide sequence called the anticodon. The anticodon forms three base pairs with a codon in mRNA during protein biosynthesis. The mRNA encodes a protein as a series of contiguous codons, each of which is recognized by a particular tRNA. On the other end of the tRNA is a covalent attachment to the amino acid that corresponds to the anticodon sequence. Each type of tRNA molecule can be attached to only one type of amino acid, so each organism has many types of tRNA (in fact, because the genetic code contains multiple codons that specify the same amino acid, there are several tRNA molecules bearing different anticodons which also carry the same amino acid).The covalent attachment to the tRNA 3•Ø end is catalyzed by enzymes called aminoacyl tRNA synthetases. During pro"
Operon,"In genetics, an operon is a functioning unit of genomic DNA containing a cluster of genes under the control of a single promoter.[1] The genes are transcribed together into an mRNA strand and either translated together in the cytoplasm, or undergo trans-splicing to create monocistronic mRNAs that are translated separately, i.e. several strands of mRNA that each encode a single gene product. The result of this is that the genes contained in the operon are either expressed together or not at all. Several genes must be co-transcribed to define an operon.[2]Originally, operons were thought to exist solely in prokaryotes, but since the discovery of the first operons in eukaryotes in the early 1990s,[3][4] more evidence has arisen to suggest they are more common than previously assumed.[5] In general, expression of prokaryotic operons leads to the generation of polycistronic mRNAs, while eukaryotic operons lead to monocistronic mRNAs.Operons are also found in viruses such as bacteriophages.[6][7] For example, T7 phages have two operons. The first operon codes for various products, including a special T7 RNA polymerase which can bind to and transcribe the second operon. The second operon includes a lysis gene meant to cause the host cell to burst.[8]"
Mitochondrion,"The mitochondrion (plural mitochondria) is a double membrane-bound organelle found in most eukaryotic cells.[1] The word mitochondrion comes from the Greek åÃ?å”åœ?, mitos, i.e. ""ead"", and å÷åœåÕåƒå—?åœåÕ, chondrion, i.e. """"[2] or ""grain-like"".Mitochondria can range from 0.5 to 1.0 åÃm in diameter. A considerable variation can be seen in the structure and size of this organelle. Unless specifically stained, they are not visible. These structures are described as ""he powerhouse of the cell"" because they generate most of the cell's supply of adenosine triphosphate (ATP), used as a source of chemical energy.[3] In addition to supplying cellular energy, mitochondria are involved in other tasks, such as signaling, cellular differentiation, and cell death, as well as maintaining control of the cell cycle and cell growth.[4] Mitochondria have been implicated in several human diseases, including mitochondrial disorders,[5] cardiac dysfunction,[6] and heart failure. A recent University of California study including ten children diagnosed with severe autism suggests that autism may be correlated with mitochondrial defects as well.[7]Several characteristics make mitochondria unique. The number of mitochondria in a cell can vary widely by organism, tissue, and cell type. For instance, red blood cells have no mitochondria, whereas liver cells can have more than 2000.[8][9] The organelle is composed of compartments that carry out specialized functions. These compartments or regions include the outer membrane, the intermembrane space, the inner membrane, and the cristae and matrix. Mitochondrial proteins vary depending on the tissue and the species. In humans, 615 distinct types of protein have been identified from cardiac mitochondria,[10] whereas in rats, 940 proteins have been reported.[11] The mitochondrial proteome is thought to be dynamically regulated.[12] Although most of a cell's DNA is contained in the cell nucleus, the mitochondrion has its own independent genome. Further, its DNA shows substantial similarity to bacterial genomes.[13]]ly deliver"
Sponge,"Sponges are animals of the phylum Porifera (/p??r?f?r?/; meaning ""pore bearer""). They are multicellular organisms that have bodies full of pores and channels allowing water to circulate through them, consisting of jelly-like mesohyl sandwiched between two thin layers of cells. Sponges have unspecialized cells that can transform into other types and that often migrate between the main cell layers and the mesohyl in the process. Sponges do not have nervous, digestive or circulatory systems. Instead, most rely on maintaining a constant water flow through their bodies to obtain food and oxygen and to remove wastes."
Serotonin,"Serotonin (/?s?r??to?n?n/, /?s?r-/) or 5-hydroxytryptamine (5-HT) is a monoamine neurotransmitter. Biochemically derived from tryptophan, serotonin is primarily found in the gastrointestinal tract (GI tract), blood platelets, and the central nervous system (CNS) of animals, including humans. It is popularly thought to be a contributor to feelings of well-being and happiness.[6]Approximately 90% of the human body's total serotonin is located in the enterochromaffin cells in the GI tract, where it is used to regulate intestinal movements.[7][8] The serotonin is secreted luminally and basolaterally which leads to increased serotonin uptake by circulating platelets and activation after stimulation, which gives increased stimulation of myenteric neurons and gastrointestinal motility.[9] The remainder is synthesized in serotonergic neurons of the CNS, where it has various functions. These include the regulation of mood, appetite, and sleep. Serotonin also has some cognitive functions, including memory and learning. Modulation of serotonin at synapses is thought to be a major action of several classes of pharmacological antidepressants.Serotonin secreted from the enterochromaffin cells eventually finds its way out of tissues into the blood. There, it is actively taken up by blood platelets, which store it. When the platelets bind to a clot, they release serotonin, where it serves as a vasoconstrictor and helps to regulate hemostasis and blood clotting. Serotonin also is a growth factor for some types of cells, which may give it a role in wound healing. There are various serotonin receptors.Serotonin is metabolized mainly to 5-HIAA, chiefly by the liver. Metabolism involves first oxidation by monoamine oxidase to the corresponding aldehyde. This is followed by oxidation by aldehyde dehydrogenase to 5-HIAA, the indole acetic acid derivative. The latter is then excreted by the kidneys. One type of tumor, called carcinoid, sometimes secretes large amounts of serotonin into the blood, which causes various forms of the carcinoid syndrome of flushing (serotonin itself does not cause flushing). Potential causes of flushing in carcinoid syndrome include bradykinins, prostaglandins, tachykinins, substance P, and/or histamine, diarrhea, and heart problems. Because of serotonin's growth-promoting effect on cardiac myocytes,[10] a serotonin-secreting carcinoid tumour may cause a tricuspid valve disease syndrome, due to the proliferation of myocytes onto the valve.[citation needed]In addition to animals, serotonin is found in fungi and plants.[11] Serotonin's presence in insect venoms and plant spines serves to cause pain, which is a side-effect of serotonin injection. Serotonin is produced by pathogenic amoebae, and its effect on the gut causes diarrhea. Its widespread presence in many seeds and fruits may serve to stimulate the digestive tract into expelling the seeds."
