answer,question
Copper,"Copper is a chemical element with symbol Cu (from Latin: cuprum) and atomic number 29. It is a soft, malleable and ductile metal with very high thermal and electrical conductivity. A freshly exposed surface of pure copper has a reddish-orange color. It is used as a conductor of heat and electricity, as a building material, and as a constituent of various metal alloys. Copper is found as a pure metal in nature, and this was the source of the first metal to be used by humans, ca. 8,000 BC; it was the first metal to be smelted from its ore, ca. 5,000 BC; it was the first metal to be cast into a shape in a mold, ca. 4,000 BC; and it was the first metal to be purposefully alloyed with another metal, tin, to create bronze, ca. 3,500. In the Roman era, copper was principally mined on Cyprus, the origin of the name of the metal from aes сyprium (metal of Cyprus), later corrupted to сuprum, from which the words copper (English), cuivre (French), Koper (Dutch) and Kupfer (German) are all derived. Its compounds are commonly encountered as copper(II) salts, which often impart blue or green colors to minerals such as azurite, malachite and turquoise and have been widely used historically as pigments. Architectural structures built with copper corrode to give green verdigris (or patina). Decorative art prominently features copper, both by itself and in the form of pigments."
Partition function (statistical mechanics),"In physics, a partition function describes the statistical properties of a system in thermodynamic equilibrium. Partition functions are functions of the thermodynamic state variables, such as the temperature and volume. Most of the aggregate thermodynamic variables of the system, such as the total energy, free energy, entropy, and pressure, can be expressed in terms of the partition function or its derivatives. Each partition function is constructed to represent a particular statistical ensemble (which, in turn, corresponds to a particular free energy). The most common statistical ensembles have named partition functions. The canonical partition function applies to a canonical ensemble, in which the system is allowed to exchange heat with the environment at fixed temperature, volume, and number of particles. The grand canonical partition function applies to a grand canonical ensemble, in which the system can exchange both heat and particles with the environment, at fixed temperature, volume, and chemical potential. Other types of partition functions can be defined for different circumstances; see partition function (mathematics) for generalizations. The partition function has many physical meanings, as discussed in Meaning and significance. "
Ideal gas law,"The ideal gas law is the equation of state of a hypothetical ideal gas. It is a good approximation to the behavior of many gases under many conditions, although it has several limitations. It was first stated by Émile Clapeyron in 1834 as a combination of Boyle's law, Charles's law and Avogadro's Law. The ideal gas law is often written as:  where the letters denote pressure, volume, amount (in moles), ideal gas constant, and temperature of the gas, respectively."
Correspondence principle,"This article discusses quantum theory and relativity. For other uses, see Correspondence principle (disambiguation). In physics, the correspondence principle states that the behavior of systems described by the theory of quantum mechanics (or by the old quantum theory) reproduces classical physics in the limit of large quantum numbers. In other words, it says that for large orbits and for large energies, quantum calculations must agree with classical calculations. The principle was formulated by Niels Bohr in 1920, though he had previously made use of it as early as 1913 in developing his model of the atom."
Algae,"Algae (/ˈældʒiː/ or /ˈælɡiː/; singular alga /ˈælɡə/) is an informal term for a large, diverse group of eukaryotes that are not necessarily closely related and are thus polyphyletic. Included organisms range from unicellular genera, such as Chlorella and the diatoms, to multicellular forms, such as the giant kelp, a large brown alga that may grow up to 50 meters in length. Most are aquatic and autotrophic and lack many of the distinct cell and tissue types, such as stomata, xylem and phloem, that are found in land plants. The largest and most complex marine algae are called seaweeds, while the most complex freshwater forms are the Charophyta, a division of green algae that includes, for example, Spirogyra and the stoneworts. There is no generally accepted definition of algae. One definition is that algae ""have chlorophyll as their primary photosynthetic pigment and lack a sterile covering of cells around their reproductive cells"". Some authors exclude all prokaryotes and thus do not consider cyanobacteria (blue-green algae) as algae. Algae constitute a polyphyletic group since they do not include a common ancestor, and although their plastids seem to have a single origin, from cyanobacteria, they were acquired in different ways. Green algae are examples of algae that have primary chloroplasts derived from endosymbiotic cyanobacteria. Diatoms and brown algae are examples of algae with secondary chloroplasts derived from an endosymbiotic red alga."
Nitrogen,"Nitrogen is a chemical element with symbol N and atomic number 7. It is the lightest pnictogen and at room temperature, it is a transparent, odorless diatomic gas. Nitrogen is a common element in the universe, estimated at about seventh in total abundance in the Milky Way and the Solar System. On Earth, the element forms about 78% of Earth's atmosphere and as such is the most abundant uncombined element. The element nitrogen was discovered as a separable component of air, by Scottish physician Daniel Rutherford, in 1772. Many industrially important compounds, such as ammonia, nitric acid, organic nitrates (propellants and explosives), and cyanides, contain nitrogen. The extremely strong triple bond in elemental nitrogen (N≡N) dominates nitrogen chemistry, causing difficulty for both organisms and industry in converting the N2 into useful compounds, but at the same time causing release of large amounts of often useful energy when the compounds burn, explode, or decay back into nitrogen gas. Synthetically-produced ammonia and nitrates are key industrial fertilizers and fertilizer nitrates are key pollutants in causing the eutrophication of water systems. Outside the major uses of nitrogen compounds as fertilizers and energy-stores, nitrogen is a constituent of organic compounds as diverse as Kevlar fabric and cyanoacrylate ""super"" glue. Nitrogen is a constituent of molecules in every major pharmacological drug class, including antibiotics. Many drugs are mimics or prodrugs of natural nitrogen-containing signal molecules: for example, the organic nitrates nitroglycerin and nitroprusside control blood pressure by being metabolized to nitric oxide. Plant alkaloids (often defense chemicals) contain nitrogen by definition, and thus many notable nitrogen-containing drugs, such as caffeine and morphine are either alkaloids or synthetic mimics that act (as many plant alkaloids do) on receptors of animal neurotransmitters (for example, synthetic amphetamines)."
Bubble chamber,"A bubble chamber is a vessel filled with a superheated transparent liquid (most often liquid hydrogen) used to detect electrically charged particles moving through it. It was invented in 1952 by Donald A. Glaser, for which he was awarded the 1960 Nobel Prize in Physics. Supposedly, Glaser was inspired by the bubbles in a glass of beer; however, in a 2006 talk, he refuted this story, although saying that while beer was not the inspiration for the bubble chamber, he did experiments using beer to fill early prototypes. Cloud chambers work on the same principles as bubble chambers, but are based on supersaturated vapor rather than superheated liquid. While bubble chambers were extensively used in the past, they have now mostly been supplanted by wire chambers and spark chambers. Historically, notable bubble chambers include the Big European Bubble Chamber (BEBC) and Gargamelle. "
Angular momentum,"In physics, angular momentum (rarely, moment of momentum or rotational momentum) is the rotational analog of linear momentum. It is an important quantity in physics because it is a conserved quantity – the angular momentum of a system remains constant unless acted on by an external torque. Angular momentum is related to the rotation or revolution of matter. It is often considered to be a measure of the quantity of rotation of a system of matter, taking into account its mass, rotations, motions and shape. The conservation of angular momentum explains many observed phenomena. For example, the increase in rotational speed of a spinning figure skater as the skater's arms are contracted, the high rotational rates of neutron stars, the falling cat problem and precession can all be explained in terms of angular momentum conservation. It has numerous applications in physics, engineering and everyday life, for instance, the gyrocompass, control moment gyroscope, inertial guidance systems, reaction wheels, tops, flying discs or Frisbees and Earth's rotation. "
Mach number,"In fluid dynamics, the Mach number (M or Ma) (/mɑːx/; German: [maχ]) is a dimensionless quantity representing the ratio of flow velocity past a boundary to the local speed of sound.  where"
Albert Einstein,"Albert Einstein (/ˈaɪnstaɪn/; German: [ˈalbɐrt ˈaɪnʃtaɪn]; 14 March 1879 – 18 April 1955) was a German-born theoretical physicist. He developed the general theory of relativity, one of the two pillars of modern physics (alongside quantum mechanics). Einstein's work is also known for its influence on the philosophy of science. Einstein is best known in popular culture for his mass–energy equivalence formula E = mc2 (which has been dubbed ""the world's most famous equation""). He received the 1921 Nobel Prize in Physics for his ""services to theoretical physics"", in particular his discovery of the law of the photoelectric effect, a pivotal step in the evolution of quantum theory. Near the beginning of his career, Einstein thought that Newtonian mechanics was no longer enough to reconcile the laws of classical mechanics with the laws of the electromagnetic field. This led to the development of his special theory of relativity. He realized, however, that the principle of relativity could also be extended to gravitational fields, and with his subsequent theory of gravitation in 1916, he published a paper on general relativity. He continued to deal with problems of statistical mechanics and quantum theory, which led to his explanations of particle theory and the motion of molecules. He also investigated the thermal properties of light which laid the foundation of the photon theory of light. In 1917, Einstein applied the general theory of relativity to model the large-scale structure of the universe. He was visiting the United States when Adolf Hitler came to power in 1933 and, being Jewish, did not go back to Germany, where he had been a professor at the Berlin Academy of Sciences. He settled in the U.S., becoming an American citizen in 1940. On the eve of World War II, he endorsed a letter to President Franklin D. Roosevelt alerting him to the potential development of ""extremely powerful bombs of a new type"" and recommending that the U.S. begin similar research. This eventually led to what would become the Manhattan Project. Einstein supported defending the Allied forces, but largely denounced the idea of using the newly discovered nuclear fission as a weapon. Later, with the British philosopher Bertrand Russell, Einstein signed the Russell–Einstein Manifesto, which highlighted the danger of nuclear weapons. Einstein was affiliated with the Institute for Advanced Study in Princeton, New Jersey, until his death in 1955."
Elasticity (physics),"In physics, elasticity (from Greek ἐλαστός ""ductible"") is the ability of a body to resist a distorting influence or stress and to return to its original size and shape when the stress is removed. Solid objects will deform when forces are applied on them. If the material is elastic, the object will return to its initial shape and size when these forces are removed. The physical reasons for elastic behavior can be quite different for different materials. In metals, the atomic lattice changes size and shape when forces are applied (energy is added to the system). When forces are removed, the lattice goes back to the original lower energy state. For rubbers and other polymers, elasticity is caused by the stretching of polymer chains when forces are applied. Perfect elasticity is an approximation of the real world, and few materials remain purely elastic even after very small deformations. In engineering, the amount of elasticity of a material is determined by two types of material parameter. The first type of material parameter is called a modulus, which measures the amount of force per unit area (stress) needed to achieve a given amount of deformation. The units of modulus are pascals (Pa) or pounds of force per square inch (psi, also lbf/in2). A higher modulus typically indicates that the material is harder to deform. The second type of parameter measures the elastic limit. The limit can be a stress beyond which the material no longer behaves elastic and deformation of the material will take place. If the stress is released, the material will elastically return to a permanent deformed shape instead of the original shape."
Equivalence principle,"In the physics of general relativity, the equivalence principle is any of several related concepts dealing with the equivalence of gravitational and inertial mass, and to Albert Einstein's observation that the gravitational ""force"" as experienced locally while standing on a massive body (such as the Earth) is actually the same as the pseudo-force experienced by an observer in a non-inertial (accelerated) frame of reference.  "
Vacuole,"A vacuole (/ˈvækjuːoʊl/) is a membrane-bound organelle which is present in all plant and fungal cells and some protist, animal and bacterial cells. Vacuoles are essentially enclosed compartments which are filled with water containing inorganic and organic molecules including enzymes in solution, though in certain cases they may contain solids which have been engulfed. Vacuoles are formed by the fusion of multiple membrane vesicles and are effectively just larger forms of these. The organelle has no basic shape or size; its structure varies according to the needs of the cell. The function and significance of vacuoles varies greatly according to the type of cell in which they are present, having much greater prominence in the cells of plants, fungi and certain protists than those of animals and bacteria. In general, the functions of the vacuole include: Isolating materials that might be harmful or a threat to the cell"
Sulfur,"Sulfur or sulphur (see spelling differences) is a chemical element with symbol S and atomic number 16. It is an abundant, multivalent non-metal. Under normal conditions, sulfur atoms form cyclic octatomic molecules with chemical formula S8. Elemental sulfur is a bright yellow crystalline solid at room temperature. Chemically, sulfur reacts with all elements except for nitrogen and the noble gases. Elemental sulfur occurs naturally as the element (native sulfur), but most commonly occurs in combined forms as sulfide and sulfate minerals. Being abundant in native form, sulfur was known in ancient times, being mentioned for its uses in ancient India, ancient Greece, China, and Egypt. Sulfur is referred to in the Bible as brimstone. Today, almost all elemental sulfur is produced as a byproduct of removing sulfur-containing contaminants from natural gas and petroleum. The element's largest commercial use (after mostly being converted to sulfuric acid) is to produce sulfate and phosphate fertilizers, because of the relatively high requirement of plants for sulfur and phosphorus. Sulfuric acid is also a primary industrial chemical outside fertilizer manufacture. Other uses for the element are in matches, insecticides and fungicides. Many sulfur compounds are odoriferous, and the smell of odorized natural gas, skunk scent, grapefruit, and garlic is due to organosulfur compounds. Hydrogen sulfide imparts the characteristic odor to rotting eggs and other biological processes. Sulfur is an essential element for all life, but almost always in the form of organosulfur compounds or metal sulfides. Three amino acids (cysteine, cystine, and methionine) and two vitamins (biotin and thiamine) are organosulfur compounds. Many cofactors also contain sulfur including glutathione and thioredoxin and iron-sulfur proteins. Disulfides, S-S bonds, confer mechanical strength and insolubility of the protein keratin, found in outer skin, hair, and feathers. Elemental sulfur is not common in higher forms of life, but is both a product and an oxidant for various bacteria."
Circle,"A circle is a simple shape in Euclidean geometry. It is the set of all points in a plane that are at a given distance from a given point, the centre; equivalently it is the curve traced out by a point that moves so that its distance from a given point is constant. The distance between any of the points and the centre is called the radius. A circle is a simple closed curve which divides the plane into two regions: an interior and an exterior. In everyday use, the term ""circle"" may be used interchangeably to refer to either the boundary of the figure, or to the whole figure including its interior; in strict technical usage, the circle is only the boundary and the whole figure is called a disk. A circle may also be defined as a special ellipse in which the two foci are coincident and the eccentricity is 0, or the two-dimensional shape enclosing the most area per unit perimeter squared, using calculus of variations."
Double bond,"A double bond in chemistry is a chemical bond between two chemical elements involving four bonding electrons instead of the usual two. The most common double bond, that is between two carbon atoms, can be found in alkenes. Many types of double bonds exist between two different elements. For example, in a carbonyl group with a carbon atom and an oxygen atom. Other common double bonds are found in azo compounds (N=N), imines (C=N) and sulfoxides (S=O). In skeletal formula the double bond is drawn as two parallel lines (=) between the two connected atoms; typographically, the equals sign is used for this. Double bonds were first introduced in chemical notation by prominent Russian chemist Alexander Butlerov. Double bonds involving carbon are stronger than single bonds and are also shorter. The bond order is two. Double bonds are also electron-rich, which makes them reactive. "
William Blake,"William Blake (28 November 1757 – 12 August 1827) was an English poet, painter, and printmaker. Largely unrecognised during his lifetime, Blake is now considered a seminal figure in the history of the poetry and visual arts of the Romantic Age. His prophetic poetry has been said to form ""what is in proportion to its merits the least read body of poetry in the English language"". His visual artistry led one contemporary art critic to proclaim him ""far and away the greatest artist Britain has ever produced"". In 2002, Blake was placed at number 38 in the BBC's poll of the 100 Greatest Britons. Although he lived in London his entire life (except for three years spent in Felpham), he produced a diverse and symbolically rich œuvre, which embraced the imagination as ""the body of God"" or ""human existence itself"". Although Blake was considered mad by contemporaries for his idiosyncratic views, he is held in high regard by later critics for his expressiveness and creativity, and for the philosophical and mystical undercurrents within his work. His paintings and poetry have been characterised as part of the Romantic movement and as ""Pre-Romantic"". Reverent of the Bible but hostile to the Church of England (indeed, to almost all forms of organised religion), Blake was influenced by the ideals and ambitions of the French and American Revolutions. Though later he rejected many of these political beliefs, he maintained an amiable relationship with the political activist Thomas Paine; he was also influenced by thinkers such as Emanuel Swedenborg. Despite these known influences, the singularity of Blake's work makes him difficult to classify. The 19th-century scholar William Rossetti characterised him as a ""glorious luminary"", and ""a man not forestalled by predecessors, nor to be classed with contemporaries, nor to be replaced by known or readily surmisable successors"". "
Random walk,"A random walk is a mathematical formalization of a path that consists of a succession of random steps. For example, the path traced by a molecule as it travels in a liquid or a gas, the search path of a foraging animal, the price of a fluctuating stock and the financial status of a gambler can all be modeled as random walks, although they may not be truly random in reality. The term random walk was first introduced by Karl Pearson in 1905. Random walks have been used in many fields: ecology, economics, psychology, computer science, physics, chemistry, and biology. Random walks explain the observed behaviors of many processes in these fields, and thus serve as a fundamental model for the recorded stochastic activity. Various different types of random walks are of interest. Often, random walks are assumed to be Markov chains or Markov processes, but other, more complicated walks are also of interest. Some random walks are on graphs, others on the line, in the plane, in higher dimensions, or even curved surfaces, while some random walks are on groups. Random walks also vary with regard to the time parameter. Often, the walk is in discrete time, and indexed by the natural numbers, as in . However, some walks take their steps at random times, and in that case the position  is defined for the continuum of times . Specific cases or limits of random walks include the Lévy flight. Random walks are related to the diffusion models and are a fundamental topic in discussions of Markov processes. Several properties of random walks, including dispersal distributions, first-passage times and encounter rates, have been extensively studied. "
Seneca Falls Convention,"The Seneca Falls Convention was the first women's rights convention. It advertised itself as ""a convention to discuss the social, civil, and religious condition and rights of woman"". Held in Seneca Falls, New York, it spanned two days over July 19–20, 1848. Attracting widespread attention, it was soon followed by other women's rights conventions, including one in Rochester, New York, two weeks later. In 1850 the first in a series of annual National Women's Rights Conventions met in Worcester, Massachusetts. Female Quakers local to the area organized the meeting along with Elizabeth Cady Stanton, who was not a Quaker. They planned the event during a visit to the area by Philadelphia-based Lucretia Mott. Mott, a Quaker, was famous for her oratorical ability, which was rare during an era which women were often not allowed to speak in public. The meeting had six sessions, included a lecture on law, a humorous presentation, and multiple discussions about the role of women in society. Stanton and the Quaker women presented two prepared documents, the Declaration of Sentiments and an accompanying list of resolutions, to be debated and modified before being put forward for signatures. A heated debate sprang up regarding women's right to vote, with many including Mott urging the removal of this concept, but Frederick Douglass argued eloquently for its inclusion, and the suffrage resolution was retained. Exactly 100 of approximately 300 attendees signed the document, mostly women."
Mica,"The mica group of sheet silicate (phyllosilicate) minerals includes several closely related materials having nearly perfect basal cleavage. All are monoclinic, with a tendency towards pseudohexagonal crystals, and are similar in chemical composition. The nearly perfect cleavage, which is the most prominent characteristic of mica, is explained by the hexagonal sheet-like arrangement of its atoms. The word mica is derived from the Latin word mica, meaning a crumb, and probably influenced by micare, to glitter. "
Cambrian,"The Cambrian (/ˈkæmbriən/ or /ˈkeɪmbriən/) is the first geological period of the Paleozoic Era, lasting from 541 to 485.4 million years ago (mya) and is succeeded by the Ordovician. Its subdivisions, and indeed its base, are somewhat in flux. The period was established (as “Cambrian series”) by Adam Sedgwick, who named it after Cambria, the Latinised form of Cymru, the Welsh name for Wales, where Britain's Cambrian rocks are best exposed. The Cambrian is unique in its unusually high proportion of lagerstätte sedimentary deposits. These are sites of exceptional preservation, where ""soft"" parts of organisms are preserved as well as their more resistant shells. This means that our understanding of the Cambrian biology surpasses that of some later periods. The Cambrian marked a profound change in life on Earth; prior to the Cambrian, the majority of living organisms on the whole were small, unicellular and simple; the Precambrian Charnia being exceptional. Complex, multicellular organisms gradually became more common in the millions of years immediately preceding the Cambrian, but it was not until this period that mineralized – hence readily fossilized – organisms became common. The rapid diversification of lifeforms in the Cambrian, known as the Cambrian explosion, produced the first representatives of all modern animal phyla. Phylogenetic analysis has supported the view that during the Cambrian radiation, metazoa (animals) evolved monophyletically from a single common ancestor: flagellated colonial protists similar to modern choanoflagellates. While diverse life forms prospered in the oceans, the land was comparatively barren – with nothing more complex than a microbial soil crust and a few molluscs that emerged to browse on the microbial biofilm Most of the continents were probably dry and rocky due to a lack of vegetation. Shallow seas flanked the margins of several continents created during the breakup of the supercontinent Pannotia. The seas were relatively warm, and polar ice was absent for much of the period."
Avogadro constant,"In chemistry and physics, the Avogadro constant (symbols: L, NA) is the number of constituent particles, usually atoms or molecules, that are contained in the amount of substance given by one mole. Thus it is the proportionality factor that relates the molar mass of a compound to its mass. Avogadro's constant has the value 7023602214085700000♠6.022140857(74)×1023 mol−1 in the International System of Units (SI). Previous definitions of chemical quantity involved Avogadro's number, a historical term closely related to the Avogadro constant but defined differently: Avogadro's number was initially defined by Jean Baptiste Perrin as the number of atoms in one gram-molecule of atomic hydrogen, meaning one gram of hydrogen. This number is also known as Loschmidt constant in German texts. The constant was later redefined as the number of atoms in 12 grams of the isotope carbon-12 (12C) and still later generalized to relate amounts of a substance to their molecular weight. For instance, to a first approximation, 1 gram of hydrogen element (H), having the atomic (mass) number 1, has 7023602200000000000♠6.022×1023 hydrogen atoms. Similarly, 12 grams of 12C, with the mass number of 12 (atomic number 6), has the same number of carbon atoms, 7023602200000000000♠6.022×1023. Avogadro's number is a dimensionless quantity and has the numerical value of the Avogadro constant given in base units. In contrast, the Avogadro constant has the dimension of reciprocal amount of substance. Revisions in the base set of SI units necessitated redefinitions of the concepts of chemical quantity and so Avogadro's number, and its definition, was deprecated in favor of the Avogadro constant and its definition. Changes in the SI units are proposed that will precisely fix the value of the constant to exactly 6.02214X×1023 when it is expressed in the unit mol−1 (see New SI definitions, in which an ""x"" at the end of a number means one or more final digits yet to be agreed upon)."
Rhodopsin,"Rhodopsin (also known as visual purple) is a light-sensitive receptor protein. It is named after ancient Greek ῥόδον (rhódon) for “rose”, due to its pinkish color, and ὄψις (ópsis) for “sight”. Rhodopsin is a biological pigment found in the rods of the retina and is a G-protein-coupled receptor (GPCR). Rhodopsin is extremely sensitive to light, and thus enables vision in low-light conditions. When Rhodopsin is exposed to light, it immediately photobleaches. In humans, it is regenerated fully in about 45 minutes. Rhodopsin was discovered by Franz Christian Boll in 1876. "
Superfluidity,"Superfluidity is a state of matter in which the matter behaves like a fluid with zero viscosity; where it appears to exhibit the ability to self-propel and travel in a way that defies the forces of gravity and surface tension. While this characteristic was originally discovered in liquid helium, it is also found in astrophysics, high-energy physics, and theories of quantum gravity. The phenomenon is related to Bose–Einstein condensation, but neither is a specific type of the other: not all Bose-Einstein condensates can be regarded as superfluids, and not all superfluids are Bose–Einstein condensates.  "
Roger Bacon,"Roger Bacon, OFM (Latin: Rogerus or Rogerius Bacon, also Frater Rogerus, ""Brother Roger""; c. 1214 – c. 1292), also known by the scholastic accolade Doctor Mirabilis (Latin for ""wonderful teacher""), was an English philosopher and Franciscan friar who placed considerable emphasis on the study of nature through empirical methods. In the early modern era, he was regarded as a wizard and particularly famed for the story of his mechanical or necromantic brazen head. He is sometimes credited (mainly since the 19th century) as one of the earliest European advocates of the modern scientific method inspired by Aristotle and by later scholars such as the Arab scientist Alhazen. His linguistic work has been heralded for its early exposition of a universal grammar. However, more recent re-evaluations emphasise that Roger Bacon was essentially a medieval thinker, with much of his ""experimental"" knowledge obtained from books in the scholastic tradition. He was, however, partially responsible for a revision of the medieval university curriculum, which saw the addition of optics to the traditional quadrivium. A survey of how Bacon's work was received over the centuries found that it often reflected the concerns and controversies that were central to his readers.  "
Action potential,"In physiology, an action potential is a short-lasting event in which the electrical membrane potential of a cell rapidly rises and falls, following a consistent trajectory. Action potentials occur in several types of animal cells, called excitable cells, which include neurons, muscle cells, and endocrine cells, as well as in some plant cells. In neurons, they play a central role in cell-to-cell communication. In other types of cells, their main function is to activate intracellular processes. In muscle cells, for example, an action potential is the first step in the chain of events leading to contraction. In beta cells of the pancreas, they provoke release of insulin. Action potentials in neurons are also known as ""nerve impulses"" or ""spikes"", and the temporal sequence of action potentials generated by a neuron is called its ""spike train"". A neuron that emits an action potential is often said to ""fire"". Action potentials are generated by special types of voltage-gated ion channels embedded in a cell's plasma membrane. These channels are shut when the membrane potential is near the resting potential of the cell, but they rapidly begin to open if the membrane potential increases to a precisely defined threshold value. When the channels open (in response to depolarization in transmembrane voltage), they allow an inward flow of sodium ions, which changes the electrochemical gradient, which in turn produces a further rise in the membrane potential. This then causes more channels to open, producing a greater electric current across the cell membrane, and so on. The process proceeds explosively until all of the available ion channels are open, resulting in a large upswing in the membrane potential. The rapid influx of sodium ions causes the polarity of the plasma membrane to reverse, and the ion channels then rapidly inactivate. As the sodium channels close, sodium ions can no longer enter the neuron, and then they are actively transported back out of the plasma membrane. Potassium channels are then activated, and there is an outward current of potassium ions, returning the electrochemical gradient to the resting state. After an action potential has occurred, there is a transient negative shift, called the afterhyperpolarization or refractory period, due to additional potassium currents. This mechanism prevents an action potential from traveling back the way it just came. In animal cells, there are two primary types of action potentials. One type is generated by voltage-gated sodium channels, the other by voltage-gated calcium channels. Sodium-based action potentials usually last for under one millisecond, whereas calcium-based action potentials may last for 100 milliseconds or longer. In some types of neurons, slow calcium spikes provide the driving force for a long burst of rapidly emitted sodium spikes. In cardiac muscle cells, on the other hand, an initial fast sodium spike provides a ""primer"" to provoke the rapid onset of a calcium spike, which then produces muscle contraction."
Sponge,"Sponges are animals of the phylum Porifera (/pɒˈrɪfərə/; meaning ""pore bearer""). They are multicellular organisms that have bodies full of pores and channels allowing water to circulate through them, consisting of jelly-like mesohyl sandwiched between two thin layers of cells. Sponges have unspecialized cells that can transform into other types and that often migrate between the main cell layers and the mesohyl in the process. Sponges do not have nervous, digestive or circulatory systems. Instead, most rely on maintaining a constant water flow through their bodies to obtain food and oxygen and to remove wastes.  "
Bose-Einstein condensate,"A Bose–Einstein condensate (BEC) is a state of matter of a dilute gas of bosons cooled to temperatures very close to absolute zero (that is, very near 5000000000000000000♠0 K or 5000000000000000000♠−273.15 °C). Under such conditions, a large fraction of bosons occupy the lowest quantum state, at which point macroscopic quantum phenomena become apparent. This state was first predicted, generally, in 1924–25 by Satyendra Nath Bose and Albert Einstein. "
Solar flare,"A solar flare is a sudden flash of brightness observed near the Sun's surface. It involves a very broad spectrum of emissions, requiring an energy release of up to 6 × 1025 joules of energy (roughly the equivalent of 160,000,000,000 megatons of TNT, over 25,000 times more energy than released from the impact of Comet Shoemaker–Levy 9 with Jupiter). Flares are often, but not always, accompanied by a spectacular coronal mass ejection. The flare ejects clouds of electrons, ions, and atoms through the corona of the sun into space. These clouds typically reach Earth a day or two after the event. The term is also used to refer to similar phenomena in other stars, where the term stellar flare applies. Solar flares affect all layers of the solar atmosphere (photosphere, chromosphere, and corona), when the plasma medium is heated to tens of millions of Kelvin, while the cosmic-ray-like electrons, protons, and heavier ions are accelerated to near the speed of light. They produce radiation across the electromagnetic spectrum at all wavelengths, from radio waves to gamma rays, although most of the energy is spread over frequencies outside the visual range and for this reason the majority of the flares are not visible to the naked eye and must be observed with special instruments. Flares occur in active regions around sunspots, where intense magnetic fields penetrate the photosphere to link the corona to the solar interior. Flares are powered by the sudden (timescales of minutes to tens of minutes) release of magnetic energy stored in the corona. The same energy releases may produce coronal mass ejections (CME), although the relation between CMEs and flares is still not well established. X-rays and UV radiation emitted by solar flares can affect Earth's ionosphere and disrupt long-range radio communications. Direct radio emission at decimetric wavelengths may disturb the operation of radars and other devices that use those frequencies."
C (programming language),"C (/ˈsiː/, as in the letter c) is a general-purpose, imperative computer programming language, supporting structured programming, lexical variable scope and recursion, while a static type system prevents many unintended operations. By design, C provides constructs that map efficiently to typical machine instructions, and therefore it has found lasting use in applications that had formerly been coded in assembly language, including operating systems, as well as various application software for computers ranging from supercomputers to embedded systems. C was originally developed by Dennis Ritchie between 1969 and 1973 at AT&T Bell Labs, and used to re-implement the Unix operating system. It has since become one of the most widely used programming languages of all time, with C compilers from various vendors available for the majority of existing computer architectures and operating systems. C has been standardized by the American National Standards Institute (ANSI) since 1989 (see ANSI C) and subsequently by the International Organization for Standardization (ISO). "
Adsorption,"Adsorption is the adhesion of atoms, ions, or molecules from a gas, liquid, or dissolved solid to a surface. This process creates a film of the adsorbate on the surface of the adsorbent. This process differs from absorption, in which a fluid (the absorbate) permeates or is dissolved by a liquid or solid (the absorbent). Adsorption is a surface-based process while absorption involves the whole volume of the material. The term sorption encompasses both processes, while desorption is the reverse of it. Adsorption is a surface phenomenon.  Similar to surface tension, adsorption is a consequence of surface energy. In a bulk material, all the bonding requirements (be they ionic, covalent, or metallic) of the constituent atoms of the material are filled by other atoms in the material. However, atoms on the surface of the adsorbent are not wholly surrounded by other adsorbent atoms and therefore can attract adsorbates. The exact nature of the bonding depends on the details of the species involved, but the adsorption process is generally classified as physisorption (characteristic of weak van der Waals forces) or chemisorption (characteristic of covalent bonding). It may also occur due to electrostatic attraction."
DNA methylation,"DNA methylation is a process by which methyl groups are added to DNA. Methylation modifies the function of the DNA. When located in a gene promoter, DNA methylation typically acts to repress gene transcription. DNA methylation is essential for normal development and is associated with a number of key processes including genomic imprinting, X-chromosome inactivation, repression of repetitive elements, and carcinogenesis. Two of DNA's four nucleotides, cytosine and adenine, can be methylated. Adenine methylation is restricted to prokaryotes.The rate of cytosine DNA methylation differs strongly between species: 14% of cytosines are methylated in Arabidopsis thaliana, 4% in Mus musculus, 2.3% in Escherichia coli, 0.03% in Drosophila, and virtually none (< 0.0002%) in yeast species. DNA methylation can stably alter the expression of genes in cells as cells divide and differentiate from embryonic stem cells into specific tissues. The resulting change is normally permanent and unidirectional, preventing a cell from reverting to a stem cell or converting into a different cell type. However, DNA methylation can be removed either passively, by dilution as cells divide, or by a faster, active, process. The latter process occurs via hydroxylation of the methyl groups that are to be removed, rather than by complete removal of methyl groups. DNA methylation is typically removed during zygote formation and re-established through successive cell divisions during development. Methylation modifications that regulate gene expression are usually heritable through mitotic cell division; some methylation is also heritable through the specialized meiotic cell division that creates egg and sperm cells, resulting in genomic imprinting. DNA methylation suppresses the expression of endogenous retroviral genes and other harmful stretches of DNA that have been incorporated into the host genome over time. DNA methylation also forms the basis of chromatin structure, which enables a single cell to grow into multiple organs or perform multiple functions. DNA methylation also plays a crucial role in the development of nearly all types of cancer."
